時間戳記,年級,就讀高中縣市,你知道2019年4/15巴黎聖母院發生什麼事了嗎？,你知道2019年4/10宣布了什麼天文學上的重大新聞嗎？,2018年中國科學家賀建奎發表了什麼造成全球學術界譁然？,你知道2019年4/21斯里蘭卡發生什麼事嗎？,你知道連續六年受假消息攻擊最嚴重的地方是？,你知道2018年臉書為什麼發生「刪帳號潮」嗎？,你知道2019年3/15在紐西蘭基督城發生了什麼事嗎？,你知道2019年4/25普丁和誰會面了嗎？,你知道2018年12/22印尼海嘯發生原因嗎？,你知道日本新年號是什麼嗎？,分數,平日資訊接收來源,意見回饋,您認為這份題目的難易度是?,這份問卷會讓你想要更加了解國際時事嗎?,,,,
4/28/2019 14:36:07,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,大陸,隱私外洩,槍擊案,川普,不知道,令和,70 / 100,"報章雜誌, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,,,,,
4/28/2019 14:43:08,高三,彰中投,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,其他,臉書被中資收購,不知道,金正恩,海底地震,令和,60 / 100,"電視, 網路新聞, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,,,,,
4/28/2019 14:59:50,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,北韓,隱私外洩,槍擊案,習近平,海底地震,寬平,60 / 100,"電視, 報章雜誌, 網路新聞, Facebook, PTT, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,,,,,
4/28/2019 22:55:23,高一,彰中投,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,0 / 100,"電視, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳",,這些事有發生過哦，怕豹.jpg,5,,,,
4/28/2019 15:06:17,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,其他,隱私外洩,槍擊案,金正恩,火山爆發,令和,90 / 100,"網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,,,,,
4/28/2019 15:21:11,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,北韓,隱私外洩,槍擊案,習近平,海底地震,令和,70 / 100,"電視, 網路新聞, Facebook, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,,,,,
4/28/2019 16:26:57,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,海底地震,令和,90 / 100,網路新聞,,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 16:33:24,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,北韓,隱私外洩,槍擊案,金正恩,海底地震,令和,80 / 100,"報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 18:19:41,其他,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,臉書被中資收購,槍擊案,金正恩,海底地震,令和,80 / 100,"電視, 報章雜誌, 網路新聞, 巴哈姆特討論區, Facebook, Twitter, PTT",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,2,,,,
4/28/2019 18:29:38,高二,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,不知道,隱私外洩,槍擊案,金正恩,不知道,令和,70 / 100,"網路新聞, Facebook, Instagram",,馬馬虎虎，就像我們連梗都懶得想一樣,5,,,,
4/28/2019 23:41:28,高一,彰中投,火災,不知道,不知道,不知道,北韓,不知道,不知道,不知道,不知道,不知道,10 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,這些事有發生過哦，怕豹.jpg,3,,,,
4/28/2019 18:30:55,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,地震,北韓,隱私外洩,槍擊案,川普,海底地震,令和,60 / 100,"電視, 廣播, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/29/2019 15:32:27,高一,彰中投,恐怖攻擊,拍到黑洞周圍電磁波影像,不知道,不知道,北韓,臉書被中資收購,不知道,習近平,不知道,不知道,10 / 100,"網路新聞, Facebook, Instagram, Twitter, 他人告知、口耳相傳",,這些事有發生過哦，怕豹.jpg,4,,,,
4/28/2019 18:33:16,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,火山爆發,令和,100 / 100,"電視, 網路新聞, Facebook, Instagram",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 18:35:20,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,不知道,不知道,槍擊案,不知道,不知道,令和,50 / 100,"電視, 網路新聞, Facebook",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 18:41:07,高二,彰中投,火災,以上皆非,基因改造嬰兒,地震,大陸,隱私外洩,槍擊案,金正恩,以上皆非,令和,60 / 100,"網路新聞, 巴哈姆特討論區, Facebook, Twitter, 其他",高中生普遍國際觀不佳。前幾日我問同學馬斯克是誰 沒有人能答出來,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/29/2019 17:35:46,高一,彰中投,不知道,不知道,不知道,不知道,不知道,臉書被中資收購,不知道,不知道,海底地震,令和,10 / 100,"電視, 報章雜誌, 網路新聞, Facebook, PTT, Dcard",,這些事有發生過哦，怕豹.jpg,3,,,,
4/28/2019 18:46:52,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,海底地震,令和,90 / 100,"電視, Twitter",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/28/2019 19:41:29,高一,彰中投,不知道,不知道,不知道,不知道,不知道,伺服器搬家造成大當機,槍擊案,金正恩,海底地震,不知道,20 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 18:48:04,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,臉書被中資收購,槍擊案,川普,海底地震,令和,70 / 100,"電視, 網路新聞, Facebook, 他人告知、口耳相傳, 其他",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/28/2019 18:49:40,高二,基北北,火災,以上皆非,基因改造嬰兒,爆炸案,芬蘭,隱私外洩,槍擊案,金正恩,海底地震,令和,70 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 20:06:19,高一,基北北,火災,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,20 / 100,"網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 18:51:10,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,大陸,隱私外洩,槍擊案,川普,海底地震,令和,70 / 100,"報章雜誌, 網路新聞, Facebook",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/28/2019 18:51:28,高三,基北北,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,不知道,隱私外洩,槍擊案,金正恩,海底地震,令和,70 / 100,"電視, 網路新聞, Facebook, PTT",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 18:56:56,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,大陸,隱私外洩,不知道,金正恩,海底地震,令和,60 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Twitter, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
